source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.8177,156,0.8182,
-1,0,1,1,0.8177,155,0.8204,
-1,0,1,2,0.8177,154,0.8184,
-1,0,1,3,0.8177,153,0.8242,
-1,0,1,4,0.8177,153,0.8184,
-1,1,1,0,0.8177,190,0.8192,
-1,1,1,1,0.8177,179,0.8189,
-1,1,1,2,0.8177,176,0.8182,
-1,1,1,3,0.8177,182,0.8218,
-1,1,1,4,0.8177,175,0.8197,
-1,2,1,0,0.8177,167,0.8205,
-1,2,1,1,0.8177,178,0.818,
-1,2,1,2,0.8177,178,0.8181,
-1,2,1,3,0.8177,173,0.8192,
-1,2,1,4,0.8177,170,0.8232,
-1,3,1,0,0.8177,189,0.8217,
-1,3,1,1,0.8177,184,0.8206,
-1,3,1,2,0.8177,187,0.8187,
-1,3,1,3,0.8177,184,0.8383,
-1,3,1,4,0.8177,185,0.8192,
-1,4,1,0,0.8177,182,0.8206,
-1,4,1,1,0.8177,183,0.8206,
-1,4,1,2,0.8177,182,0.822,
-1,4,1,3,0.8177,183,0.8205,
-1,4,1,4,0.8177,182,0.8224,
-1,5,1,0,0.8177,152,0.8247,
-1,5,1,1,0.8177,145,0.821,
-1,5,1,2,0.8177,146,0.8201,
-1,5,1,3,0.8177,148,0.8269,
-1,5,1,4,0.8177,143,0.8214,
-1,6,1,0,0.8177,147,0.8188,
-1,6,1,1,0.8177,141,0.8203,
-1,6,1,2,0.8177,143,0.8182,
-1,6,1,3,0.8177,147,0.8192,
-1,6,1,4,0.8177,146,0.8225,
-1,7,1,0,0.8177,190,0.8215,
-1,7,1,1,0.8177,180,0.8193,
-1,7,1,2,0.8177,184,0.8193,
-1,7,1,3,0.8177,189,0.8209,
-1,7,1,4,0.8177,189,0.8179,
-1,8,1,0,0.8177,146,0.8209,
-1,8,1,1,0.8177,152,0.8287,
-1,8,1,2,0.8177,147,0.8208,
-1,8,1,3,0.8177,148,0.8245,
-1,8,1,4,0.8177,145,0.8232,
-1,9,1,0,0.8177,201,0.8251,
-1,9,1,1,0.8177,199,0.8202,
-1,9,1,2,0.8177,198,0.819,
-1,9,1,3,0.8177,191,0.8246,
-1,9,1,4,0.8177,200,0.8183,
1,0,2,0,0.8177,35,0.84,0.803
1,0,2,1,0.8177,33,0.832,0.8026666666666666
1,0,2,2,0.8177,34,0.84,0.8028888888888889
1,0,2,3,0.8177,34,0.818,0.8026666666666666
1,0,2,4,0.8177,34,0.836,0.8024444444444444
2,0,2,0,0.8177,44,0.824,0.7686666666666667
2,0,2,1,0.8177,46,0.824,0.7671111111111111
2,0,2,2,0.8177,44,0.82,0.7784444444444445
2,0,2,3,0.8177,45,0.818,0.7736666666666666
2,0,2,4,0.8177,47,0.828,0.7692222222222223
3,0,2,0,0.8177,30,0.842,0.821
3,0,2,1,0.8177,31,0.824,0.8212222222222222
3,0,2,2,0.8177,30,0.822,0.8206666666666667
3,0,2,3,0.8177,31,0.826,0.8204444444444444
3,0,2,4,0.8177,32,0.83,0.8197777777777778
4,0,2,0,0.8177,42,0.82,0.8051111111111111
4,0,2,1,0.8177,47,0.826,0.7952222222222223
4,0,2,2,0.8177,43,0.818,0.8054444444444444
4,0,2,3,0.8177,44,0.82,0.7998888888888889
4,0,2,4,0.8177,43,0.818,0.8003333333333333
5,0,2,0,0.8177,71,0.83,0.7933333333333333
5,0,2,1,0.8177,68,0.818,0.798
5,0,2,2,0.8177,71,0.826,0.7874444444444444
5,0,2,3,0.8177,71,0.822,0.7953333333333333
5,0,2,4,0.8177,68,0.818,0.7973333333333333
6,0,2,0,0.8177,43,0.82,0.8043333333333333
6,0,2,1,0.8177,45,0.828,0.7921111111111111
6,0,2,2,0.8177,45,0.82,0.8035555555555556
6,0,2,3,0.8177,42,0.818,0.8044444444444444
6,0,2,4,0.8177,44,0.828,0.7927777777777778
7,0,2,0,0.8177,44,0.826,0.8124444444444444
7,0,2,1,0.8177,44,0.818,0.8118888888888889
7,0,2,2,0.8177,44,0.824,0.8115555555555556
7,0,2,3,0.8177,45,0.826,0.8117777777777778
7,0,2,4,0.8177,45,0.824,0.8121111111111111
8,0,2,0,0.8177,72,0.826,0.7833333333333333
8,0,2,1,0.8177,70,0.818,0.7824444444444445
8,0,2,2,0.8177,71,0.82,0.7861111111111111
8,0,2,3,0.8177,74,0.818,0.782
8,0,2,4,0.8177,70,0.818,0.7802222222222223
9,0,2,0,0.8177,39,0.82,0.8101111111111111
9,0,2,1,0.8177,39,0.824,0.8096666666666666
9,0,2,2,0.8177,40,0.828,0.8093333333333333
9,0,2,3,0.8177,39,0.822,0.8085555555555556
9,0,2,4,0.8177,42,0.82,0.8085555555555556
0,1,2,0,0.8177,62,0.824,0.7874444444444444
0,1,2,1,0.8177,66,0.826,0.7831111111111111
0,1,2,2,0.8177,67,0.822,0.7836666666666666
0,1,2,3,0.8177,69,0.82,0.7771111111111111
0,1,2,4,0.8177,60,0.824,0.7902222222222223
2,1,2,0,0.8177,52,0.818,0.745
