source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.8894,531,0.8906,
-1,0,1,1,0.8894,535,0.8895,
-1,0,1,2,0.8894,530,0.8909,
-1,0,1,3,0.8894,530,0.8897,
-1,0,1,4,0.8894,536,0.8904,
-1,1,1,0,0.8894,630,0.8909,
-1,1,1,1,0.8894,633,0.8895,
-1,1,1,2,0.8894,624,0.8895,
-1,1,1,3,0.8894,625,0.8897,
-1,1,1,4,0.8894,633,0.8894,
-1,2,1,0,0.8894,601,0.8907,
-1,2,1,1,0.8894,602,0.8905,
-1,2,1,2,0.8894,608,0.8895,
-1,2,1,3,0.8894,611,0.89,
-1,2,1,4,0.8894,596,0.8901,
-1,3,1,0,0.8894,640,0.8895,
-1,3,1,1,0.8894,643,0.8898,
-1,3,1,2,0.8894,639,0.8914,
-1,3,1,3,0.8894,649,0.8908,
-1,3,1,4,0.8894,640,0.8901,
-1,4,1,0,0.8894,672,0.8904,
-1,4,1,1,0.8894,667,0.8897,
-1,4,1,2,0.8894,680,0.8894,
-1,4,1,3,0.8894,671,0.8905,
-1,4,1,4,0.8894,669,0.8895,
-1,5,1,0,0.8894,495,0.8918,
-1,5,1,1,0.8894,491,0.8902,
-1,5,1,2,0.8894,488,0.8895,
-1,5,1,3,0.8894,487,0.8903,
-1,5,1,4,0.8894,492,0.8902,
-1,6,1,0,0.8894,562,0.8895,
-1,6,1,1,0.8894,556,0.8908,
-1,6,1,2,0.8894,558,0.8899,
-1,6,1,3,0.8894,556,0.8903,
-1,6,1,4,0.8894,549,0.8895,
-1,7,1,0,0.8894,756,0.8916,
-1,7,1,1,0.8894,761,0.8897,
-1,7,1,2,0.8894,119,0.1048,
-1,7,1,3,0.8894,764,0.8895,
-1,7,1,4,0.8894,757,0.8898,
-1,8,1,0,0.8894,473,0.8894,
-1,8,1,1,0.8894,475,0.8899,
-1,8,1,2,0.8894,472,0.8898,
-1,8,1,3,0.8894,474,0.8903,
-1,8,1,4,0.8894,478,0.8905,
-1,9,1,0,0.8894,691,0.891,
-1,9,1,1,0.8894,691,0.8899,
-1,9,1,2,0.8894,696,0.8897,
-1,9,1,3,0.8894,691,0.8903,
-1,9,1,4,0.8894,693,0.8917,
1,0,2,0,0.8894,43,0.008,0.8812222222222222
1,0,2,1,0.8894,101,0.89,0.8747777777777778
1,0,2,2,0.8894,20,0.004,0.8812222222222222
1,0,2,3,0.8894,23,0.004,0.8813333333333333
1,0,2,4,0.8894,22,0.006,0.8812222222222222
2,0,2,0,0.8894,135,0.892,0.8497777777777777
2,0,2,1,0.8894,138,0.89,0.847
2,0,2,2,0.8894,139,0.894,0.8443333333333334
2,0,2,3,0.8894,140,0.896,0.8447777777777777
2,0,2,4,0.8894,140,0.894,0.8422222222222222
3,0,2,0,0.8894,113,0.898,0.8833333333333333
3,0,2,1,0.8894,114,0.892,0.8837777777777778
3,0,2,2,0.8894,115,0.892,0.8843333333333333
3,0,2,3,0.8894,113,0.892,0.8833333333333333
3,0,2,4,0.8894,116,0.892,0.8828888888888888
4,0,2,0,0.8894,148,0.896,0.8318888888888889
4,0,2,1,0.8894,148,0.89,0.8314444444444444
4,0,2,2,0.8894,145,0.892,0.8355555555555556
4,0,2,3,0.8894,146,0.892,0.8355555555555556
4,0,2,4,0.8894,26,0.002,0.8987777777777778
5,0,2,0,0.8894,218,0.9,0.8668888888888889
5,0,2,1,0.8894,217,0.894,0.8675555555555555
5,0,2,2,0.8894,210,0.892,0.8676666666666667
5,0,2,3,0.8894,226,0.892,0.8636666666666667
5,0,2,4,0.8894,220,0.89,0.8641111111111112
6,0,2,0,0.8894,148,0.892,0.8537777777777777
6,0,2,1,0.8894,139,0.89,0.8676666666666667
6,0,2,2,0.8894,139,0.89,0.8661111111111112
6,0,2,3,0.8894,140,0.89,0.8625555555555555
6,0,2,4,0.8894,150,0.892,0.8507777777777777
7,0,2,0,0.8894,129,0.892,0.8815555555555555
7,0,2,1,0.8894,131,0.892,0.882
7,0,2,2,0.8894,131,0.89,0.8812222222222222
7,0,2,3,0.8894,132,0.902,0.8813333333333333
7,0,2,4,0.8894,133,0.894,0.8816666666666667
8,0,2,0,0.8894,25,0.006,0.8818888888888889
8,0,2,1,0.8894,24,0.006,0.8813333333333333
8,0,2,2,0.8894,25,0.004,0.881
8,0,2,3,0.8894,25,0.002,0.8814444444444445
8,0,2,4,0.8894,24,0.004,0.8814444444444445
9,0,2,0,0.8894,163,0.89,0.8782222222222222
9,0,2,1,0.8894,156,0.892,0.8802222222222222
9,0,2,2,0.8894,159,0.892,0.8808888888888889
9,0,2,3,0.8894,161,0.894,0.8795555555555555
9,0,2,4,0.8894,158,0.902,0.8794444444444445
0,1,2,0,0.8894,212,0.892,0.8323333333333334
0,1,2,1,0.8894,214,0.89,0.8281111111111111
0,1,2,2,0.8894,201,0.896,0.8403333333333334
0,1,2,3,0.8894,216,0.89,0.8274444444444444
0,1,2,4,0.8894,224,0.892,0.8177777777777778
2,1,2,0,0.8894,173,0.89,0.829
2,1,2,1,0.8894,181,0.89,0.8097777777777778
2,1,2,2,0.8894,178,0.892,0.818
2,1,2,3,0.8894,180,0.89,0.8126666666666666
2,1,2,4,0.8894,178,0.89,0.8162222222222222
3,1,2,0,0.8894,134,0.894,0.8736666666666667
3,1,2,1,0.8894,129,0.892,0.8751111111111111
3,1,2,2,0.8894,131,0.89,0.8747777777777778
3,1,2,3,0.8894,128,0.89,0.8753333333333333
3,1,2,4,0.8894,132,0.89,0.8745555555555555
4,1,2,0,0.8894,25,0.002,0.8988888888888888
4,1,2,1,0.8894,161,0.89,0.8503333333333334
4,1,2,2,0.8894,25,0.002,0.899
4,1,2,3,0.8894,165,0.892,0.8451111111111111
4,1,2,4,0.8894,25,0.002,0.8991111111111111
5,1,2,0,0.8894,288,0.892,0.8554444444444445
5,1,2,1,0.8894,288,0.892,0.8546666666666667
5,1,2,2,0.8894,282,0.894,0.8603333333333333
5,1,2,3,0.8894,285,0.89,0.8563333333333333
5,1,2,4,0.8894,300,0.89,0.843
6,1,2,0,0.8894,20,0.002,0.9176666666666666
6,1,2,1,0.8894,39,0.002,0.9183333333333333
6,1,2,2,0.8894,39,0.002,0.9181111111111111
6,1,2,3,0.8894,255,0.892,0.7118888888888889
6,1,2,4,0.8894,20,0.002,0.9172222222222223
7,1,2,0,0.8894,170,0.892,0.8828888888888888
7,1,2,1,0.8894,162,0.89,0.8825555555555555
7,1,2,2,0.8894,165,0.89,0.8818888888888889
7,1,2,3,0.8894,181,0.892,0.8812222222222222
7,1,2,4,0.8894,164,0.89,0.8831111111111111
8,1,2,0,0.8894,20,0.002,0.8811111111111111
8,1,2,1,0.8894,303,0.89,0.8686666666666667
8,1,2,2,0.8894,311,0.89,0.8631111111111112
8,1,2,3,0.8894,20,0.004,0.8815555555555555
8,1,2,4,0.8894,20,0.004,0.8816666666666667
9,1,2,0,0.8894,217,0.892,0.8796666666666667
9,1,2,1,0.8894,215,0.892,0.8803333333333333
9,1,2,2,0.8894,218,0.89,0.8781111111111111
9,1,2,3,0.8894,225,0.892,0.8787777777777778
9,1,2,4,0.8894,221,0.89,0.8793333333333333
0,2,2,0,0.8894,176,0.892,0.8443333333333334
0,2,2,1,0.8894,182,0.892,0.8396666666666667
0,2,2,2,0.8894,181,0.892,0.8414444444444444
0,2,2,3,0.8894,167,0.89,0.8506666666666667
0,2,2,4,0.8894,176,0.89,0.8458888888888889
1,2,2,0,0.8894,36,0.002,0.8817777777777778
1,2,2,1,0.8894,36,0.004,0.8817777777777778
1,2,2,2,0.8894,20,0.002,0.8808888888888889
1,2,2,3,0.8894,34,0.002,0.8815555555555555
1,2,2,4,0.8894,44,0.006,0.8816666666666667
3,2,2,0,0.8894,141,0.892,0.8746666666666667
3,2,2,1,0.8894,137,0.89,0.8765555555555555
3,2,2,2,0.8894,136,0.894,0.8774444444444445
3,2,2,3,0.8894,138,0.892,0.8761111111111111
3,2,2,4,0.8894,32,0.018,0.8937777777777778
4,2,2,0,0.8894,101,0.892,0.8881111111111111
4,2,2,1,0.8894,100,0.892,0.8901111111111111
4,2,2,2,0.8894,93,0.89,0.8942222222222223
4,2,2,3,0.8894,95,0.89,0.8926666666666667
4,2,2,4,0.8894,96,0.892,0.8925555555555555
5,2,2,0,0.8894,236,0.892,0.8607777777777778
5,2,2,1,0.8894,230,0.89,0.8607777777777778
5,2,2,2,0.8894,235,0.892,0.8512222222222222
5,2,2,3,0.8894,234,0.89,0.8574444444444445
5,2,2,4,0.8894,234,0.89,0.8582222222222222
6,2,2,0,0.8894,191,0.892,0.8175555555555556
6,2,2,1,0.8894,198,0.89,0.8112222222222222
6,2,2,2,0.8894,189,0.89,0.8176666666666667
6,2,2,3,0.8894,201,0.89,0.8038888888888889
6,2,2,4,0.8894,194,0.89,0.812
7,2,2,0,0.8894,128,0.894,0.8816666666666667
7,2,2,1,0.8894,129,0.89,0.8816666666666667
7,2,2,2,0.8894,130,0.896,0.881
7,2,2,3,0.8894,132,0.892,0.8801111111111111
7,2,2,4,0.8894,132,0.89,0.8806666666666667
8,2,2,0,0.8894,35,0.006,0.8816666666666667
8,2,2,1,0.8894,255,0.892,0.8572222222222222
8,2,2,2,0.8894,254,0.896,0.856
8,2,2,3,0.8894,249,0.89,0.8598888888888889
8,2,2,4,0.8894,257,0.89,0.8597777777777778
9,2,2,0,0.8894,175,0.892,0.8783333333333333
9,2,2,1,0.8894,170,0.89,0.8788888888888889
9,2,2,2,0.8894,178,0.896,0.8772222222222222
9,2,2,3,0.8894,169,0.89,0.8793333333333333
9,2,2,4,0.8894,180,0.898,0.8772222222222222
0,3,2,0,0.8894,165,0.892,0.8703333333333333
0,3,2,1,0.8894,171,0.89,0.87
0,3,2,2,0.8894,161,0.89,0.8727777777777778
0,3,2,3,0.8894,170,0.89,0.8706666666666667
0,3,2,4,0.8894,171,0.89,0.8705555555555555
1,3,2,0,0.8894,94,0.89,0.8815555555555555
1,3,2,1,0.8894,89,0.892,0.8815555555555555
1,3,2,2,0.8894,92,0.892,0.8816666666666667
1,3,2,3,0.8894,95,0.896,0.8813333333333333
1,3,2,4,0.8894,93,0.89,0.8811111111111111
2,3,2,0,0.8894,189,0.89,0.8422222222222222
2,3,2,1,0.8894,200,0.894,0.8334444444444444
2,3,2,2,0.8894,183,0.89,0.8475555555555555
2,3,2,3,0.8894,194,0.89,0.8323333333333334
2,3,2,4,0.8894,182,0.892,0.846
4,3,2,0,0.8894,170,0.89,0.8562222222222222
4,3,2,1,0.8894,169,0.89,0.8602222222222222
4,3,2,2,0.8894,179,0.892,0.8452222222222222
4,3,2,3,0.8894,175,0.894,0.8545555555555555
4,3,2,4,0.8894,167,0.894,0.8601111111111112
5,3,2,0,0.8894,20,0.002,0.882
5,3,2,1,0.8894,20,0.002,0.882
5,3,2,2,0.8894,20,0.002,0.8817777777777778
5,3,2,3,0.8894,20,0.002,0.8816666666666667
5,3,2,4,0.8894,20,0.002,0.8816666666666667
6,3,2,0,0.8894,231,0.89,0.7974444444444444
6,3,2,1,0.8894,232,0.89,0.7932222222222223
6,3,2,2,0.8894,227,0.892,0.8056666666666666
6,3,2,3,0.8894,227,0.89,0.8076666666666666
6,3,2,4,0.8894,243,0.892,0.7853333333333333
7,3,2,0,0.8894,141,0.89,0.8817777777777778
7,3,2,1,0.8894,150,0.896,0.8806666666666667
7,3,2,2,0.8894,143,0.89,0.8816666666666667
7,3,2,3,0.8894,135,0.892,0.8825555555555555
7,3,2,4,0.8894,154,0.89,0.8801111111111111
8,3,2,0,0.8894,25,0.006,0.8812222222222222
8,3,2,1,0.8894,21,0.004,0.8816666666666667
8,3,2,2,0.8894,25,0.01,0.881
8,3,2,3,0.8894,21,0.002,0.881
8,3,2,4,0.8894,20,0.004,0.8814444444444445
9,3,2,0,0.8894,185,0.894,0.8805555555555555
9,3,2,1,0.8894,180,0.89,0.8803333333333333
9,3,2,2,0.8894,187,0.89,0.8792222222222222
9,3,2,3,0.8894,190,0.89,0.8792222222222222
9,3,2,4,0.8894,182,0.89,0.8803333333333333
0,4,2,0,0.8894,20,0.004,0.9002222222222223
0,4,2,1,0.8894,30,0.004,0.903
0,4,2,2,0.8894,30,0.006,0.9031111111111111
0,4,2,3,0.8894,31,0.006,0.9028888888888889
0,4,2,4,0.8894,28,0.006,0.9032222222222223
1,4,2,0,0.8894,20,0.006,0.8814444444444445
1,4,2,1,0.8894,20,0.004,0.8815555555555555
1,4,2,2,0.8894,20,0.006,0.8814444444444445
1,4,2,3,0.8894,20,0.002,0.8815555555555555
1,4,2,4,0.8894,20,0.008,0.8813333333333333
2,4,2,0,0.8894,117,0.892,0.8877777777777778
2,4,2,1,0.8894,120,0.89,0.8871111111111111
2,4,2,2,0.8894,119,0.89,0.8873333333333333
2,4,2,3,0.8894,113,0.892,0.8898888888888888
2,4,2,4,0.8894,117,0.894,0.889
3,4,2,0,0.8894,164,0.89,0.8805555555555555
3,4,2,1,0.8894,169,0.89,0.8791111111111111
3,4,2,2,0.8894,165,0.892,0.8804444444444445
3,4,2,3,0.8894,164,0.892,0.8792222222222222
3,4,2,4,0.8894,164,0.892,0.8796666666666667
5,4,2,0,0.8894,255,0.89,0.8325555555555556
5,4,2,1,0.8894,283,0.89,0.799
5,4,2,2,0.8894,279,0.89,0.8083333333333333
5,4,2,3,0.8894,275,0.89,0.8136666666666666
5,4,2,4,0.8894,270,0.892,0.8231111111111111
6,4,2,0,0.8894,262,0.89,0.7982222222222223
6,4,2,1,0.8894,248,0.89,0.8136666666666666
6,4,2,2,0.8894,237,0.89,0.8251111111111111
6,4,2,3,0.8894,235,0.89,0.8285555555555556
6,4,2,4,0.8894,255,0.89,0.8117777777777778
7,4,2,0,0.8894,133,0.894,0.8813333333333333
7,4,2,1,0.8894,131,0.898,0.8818888888888889
7,4,2,2,0.8894,133,0.89,0.8817777777777778
7,4,2,3,0.8894,130,0.9,0.882
7,4,2,4,0.8894,132,0.894,0.8817777777777778
8,4,2,0,0.8894,20,0.002,0.8813333333333333
8,4,2,1,0.8894,56,0.004,0.8804444444444445
8,4,2,2,0.8894,69,0.008,0.8796666666666667
8,4,2,3,0.8894,20,0.002,0.8813333333333333
8,4,2,4,0.8894,257,0.89,0.8642222222222222
9,4,2,0,0.8894,182,0.892,0.8746666666666667
9,4,2,1,0.8894,190,0.894,0.8732222222222222
9,4,2,2,0.8894,183,0.892,0.8755555555555555
9,4,2,3,0.8894,177,0.892,0.8775555555555555
9,4,2,4,0.8894,184,0.89,0.8754444444444445
0,5,2,0,0.8894,20,0.002,0.8986666666666666
0,5,2,1,0.8894,192,0.892,0.8524444444444444
0,5,2,2,0.8894,191,0.89,0.8495555555555555
0,5,2,3,0.8894,205,0.89,0.8405555555555555
0,5,2,4,0.8894,196,0.89,0.8418888888888889
1,5,2,0,0.8894,127,0.89,0.8811111111111111
1,5,2,1,0.8894,131,0.892,0.88
1,5,2,2,0.8894,129,0.89,0.8793333333333333
1,5,2,3,0.8894,124,0.892,0.881
1,5,2,4,0.8894,130,0.896,0.8804444444444445
2,5,2,0,0.8894,164,0.892,0.8312222222222222
2,5,2,1,0.8894,165,0.89,0.8285555555555556
2,5,2,2,0.8894,174,0.89,0.8192222222222222
2,5,2,3,0.8894,159,0.89,0.8403333333333334
2,5,2,4,0.8894,160,0.89,0.8411111111111111
3,5,2,0,0.8894,158,0.89,0.8758888888888889
3,5,2,1,0.8894,155,0.894,0.8768888888888889
3,5,2,2,0.8894,160,0.894,0.8753333333333333
3,5,2,3,0.8894,158,0.892,0.8756666666666667
3,5,2,4,0.8894,155,0.894,0.8765555555555555
4,5,2,0,0.8894,165,0.89,0.8186666666666667
4,5,2,1,0.8894,166,0.89,0.8135555555555556
4,5,2,2,0.8894,167,0.89,0.8162222222222222
4,5,2,3,0.8894,165,0.894,0.8186666666666667
4,5,2,4,0.8894,166,0.898,0.8188888888888889
6,5,2,0,0.8894,229,0.89,0.6965555555555556
6,5,2,1,0.8894,224,0.892,0.7101111111111111
6,5,2,2,0.8894,224,0.89,0.7025555555555556
6,5,2,3,0.8894,80,0.002,0.9162222222222223
6,5,2,4,0.8894,225,0.898,0.7058888888888889
7,5,2,0,0.8894,83,0.9,0.8843333333333333
7,5,2,1,0.8894,80,0.89,0.8847777777777778
7,5,2,2,0.8894,82,0.898,0.8843333333333333
7,5,2,3,0.8894,83,0.894,0.8844444444444445
7,5,2,4,0.8894,81,0.892,0.8846666666666667
8,5,2,0,0.8894,252,0.894,0.8757777777777778
8,5,2,1,0.8894,246,0.89,0.8766666666666667
8,5,2,2,0.8894,74,0.012,0.8805555555555555
8,5,2,3,0.8894,20,0.002,0.8811111111111111
8,5,2,4,0.8894,230,0.892,0.8785555555555555
9,5,2,0,0.8894,93,0.892,0.8804444444444445
9,5,2,1,0.8894,92,0.89,0.8801111111111111
9,5,2,2,0.8894,92,0.892,0.8801111111111111
9,5,2,3,0.8894,89,0.894,0.8803333333333333
9,5,2,4,0.8894,93,0.894,0.8802222222222222
0,6,2,0,0.8894,83,0.896,0.9033333333333333
0,6,2,1,0.8894,83,0.89,0.904
0,6,2,2,0.8894,77,0.894,0.9037777777777778
0,6,2,3,0.8894,82,0.894,0.9034444444444445
0,6,2,4,0.8894,79,0.896,0.9048888888888889
1,6,2,0,0.8894,20,0.002,0.8821111111111111
1,6,2,1,0.8894,32,0.006,0.8824444444444445
1,6,2,2,0.8894,109,0.902,0.8801111111111111
1,6,2,3,0.8894,20,0.002,0.8818888888888889
1,6,2,4,0.8894,20,0.004,0.8822222222222222
2,6,2,0,0.8894,107,0.89,0.8704444444444445
2,6,2,1,0.8894,94,0.89,0.879
2,6,2,2,0.8894,102,0.89,0.8744444444444445
2,6,2,3,0.8894,101,0.89,0.873
2,6,2,4,0.8894,103,0.89,0.8745555555555555
3,6,2,0,0.8894,126,0.892,0.8801111111111111
3,6,2,1,0.8894,129,0.892,0.879
3,6,2,2,0.8894,129,0.89,0.881
3,6,2,3,0.8894,126,0.892,0.8796666666666667
3,6,2,4,0.8894,124,0.894,0.8801111111111111
4,6,2,0,0.8894,116,0.894,0.8615555555555555
4,6,2,1,0.8894,109,0.89,0.8725555555555555
4,6,2,2,0.8894,115,0.894,0.8626666666666667
4,6,2,3,0.8894,115,0.892,0.8642222222222222
4,6,2,4,0.8894,115,0.89,0.8648888888888889
5,6,2,0,0.8894,201,0.89,0.8445555555555555
5,6,2,1,0.8894,200,0.89,0.8446666666666667
5,6,2,2,0.8894,207,0.89,0.8383333333333334
5,6,2,3,0.8894,202,0.892,0.8411111111111111
5,6,2,4,0.8894,194,0.894,0.8515555555555555
7,6,2,0,0.8894,112,0.894,0.8816666666666667
7,6,2,1,0.8894,112,0.89,0.8808888888888889
7,6,2,2,0.8894,111,0.892,0.8812222222222222
7,6,2,3,0.8894,110,0.892,0.8808888888888889
7,6,2,4,0.8894,108,0.892,0.8817777777777778
8,6,2,0,0.8894,215,0.892,0.8685555555555555
8,6,2,1,0.8894,205,0.89,0.8702222222222222
8,6,2,2,0.8894,34,0.02,0.8811111111111111
8,6,2,3,0.8894,215,0.892,0.8693333333333333
8,6,2,4,0.8894,216,0.89,0.8693333333333333
9,6,2,0,0.8894,153,0.89,0.8742222222222222
9,6,2,1,0.8894,159,0.894,0.8723333333333333
9,6,2,2,0.8894,162,0.89,0.8713333333333333
9,6,2,3,0.8894,169,0.89,0.87
9,6,2,4,0.8894,153,0.89,0.8744444444444445
0,7,2,0,0.8894,295,0.89,0.8634444444444445
0,7,2,1,0.8894,306,0.89,0.8564444444444445
0,7,2,2,0.8894,310,0.89,0.8548888888888889
0,7,2,3,0.8894,303,0.892,0.8604444444444445
0,7,2,4,0.8894,323,0.892,0.8466666666666667
1,7,2,0,0.8894,171,0.892,0.8793333333333333
1,7,2,1,0.8894,179,0.89,0.8792222222222222
1,7,2,2,0.8894,180,0.892,0.8787777777777778
1,7,2,3,0.8894,189,0.89,0.8775555555555555
1,7,2,4,0.8894,168,0.89,0.8798888888888889
2,7,2,0,0.8894,269,0.89,0.824
2,7,2,1,0.8894,261,0.89,0.8331111111111111
2,7,2,2,0.8894,264,0.89,0.8315555555555556
2,7,2,3,0.8894,259,0.89,0.8295555555555556
2,7,2,4,0.8894,264,0.89,0.8205555555555556
3,7,2,0,0.8894,232,0.896,0.8766666666666667
3,7,2,1,0.8894,228,0.892,0.8768888888888889
3,7,2,2,0.8894,228,0.892,0.8782222222222222
3,7,2,3,0.8894,230,0.89,0.8763333333333333
3,7,2,4,0.8894,243,0.892,0.8733333333333333
4,7,2,0,0.8894,249,0.89,0.8433333333333334
4,7,2,1,0.8894,243,0.892,0.8487777777777777
4,7,2,2,0.8894,252,0.894,0.8383333333333334
4,7,2,3,0.8894,244,0.89,0.8434444444444444
4,7,2,4,0.8894,256,0.89,0.8324444444444444
5,7,2,0,0.8894,266,0.89,0.8722222222222222
5,7,2,1,0.8894,243,0.89,0.8743333333333333
5,7,2,2,0.8894,242,0.892,0.8734444444444445
5,7,2,3,0.8894,241,0.89,0.8748888888888889
5,7,2,4,0.8894,245,0.89,0.8748888888888889
6,7,2,0,0.8894,381,0.89,0.6924444444444444
6,7,2,1,0.8894,393,0.89,0.6863333333333334
6,7,2,2,0.8894,375,0.89,0.7048888888888889
6,7,2,3,0.8894,379,0.89,0.6863333333333334
6,7,2,4,0.8894,357,0.894,0.7225555555555555
8,7,2,0,0.8894,20,0.006,0.8812222222222222
8,7,2,1,0.8894,20,0.006,0.8812222222222222
8,7,2,2,0.8894,22,0.004,0.8814444444444445
8,7,2,3,0.8894,22,0.004,0.8814444444444445
8,7,2,4,0.8894,21,0.006,0.8813333333333333
9,7,2,0,0.8894,116,0.89,0.8854444444444445
9,7,2,1,0.8894,122,0.894,0.8843333333333333
9,7,2,2,0.8894,122,0.89,0.8844444444444445
9,7,2,3,0.8894,106,0.89,0.8851111111111111
9,7,2,4,0.8894,115,0.89,0.8846666666666667
0,8,2,0,0.8894,20,0.004,0.8986666666666666
0,8,2,1,0.8894,20,0.006,0.8997777777777778
0,8,2,2,0.8894,20,0.008,0.8991111111111111
0,8,2,3,0.8894,20,0.008,0.8987777777777778
0,8,2,4,0.8894,20,0.012,0.8992222222222223
1,8,2,0,0.8894,20,0.002,0.8815555555555555
1,8,2,1,0.8894,38,0.002,0.8815555555555555
1,8,2,2,0.8894,124,0.89,0.8761111111111111
1,8,2,3,0.8894,39,0.004,0.8814444444444445
1,8,2,4,0.8894,36,0.004,0.8815555555555555
2,8,2,0,0.8894,20,0.002,0.9002222222222223
2,8,2,1,0.8894,150,0.896,0.8346666666666667
