source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.8749,108,0.878,
-1,0,1,1,0.8749,106,0.8849,
-1,0,1,2,0.8749,106,0.881,
-1,0,1,3,0.8749,107,0.8768,
-1,0,1,4,0.8749,106,0.8749,
-1,1,1,0,0.8749,122,0.8809,
-1,1,1,1,0.8749,123,0.8762,
-1,1,1,2,0.8749,123,0.8793,
-1,1,1,3,0.8749,122,0.8768,
-1,1,1,4,0.8749,123,0.8765,
-1,2,1,0,0.8749,124,0.879,
-1,2,1,1,0.8749,120,0.8802,
-1,2,1,2,0.8749,122,0.8821,
-1,2,1,3,0.8749,119,0.88,
-1,2,1,4,0.8749,122,0.8754,
-1,3,1,0,0.8749,135,0.8811,
-1,3,1,1,0.8749,136,0.8766,
-1,3,1,2,0.8749,139,0.8784,
-1,3,1,3,0.8749,134,0.8755,
-1,3,1,4,0.8749,134,0.8769,
-1,4,1,0,0.8749,129,0.8771,
-1,4,1,1,0.8749,125,0.876,
-1,4,1,2,0.8749,129,0.8762,
-1,4,1,3,0.8749,128,0.8774,
-1,4,1,4,0.8749,128,0.8759,
-1,5,1,0,0.8749,129,0.8809,
-1,5,1,1,0.8749,126,0.8808,
-1,5,1,2,0.8749,130,0.8822,
-1,5,1,3,0.8749,129,0.8777,
-1,5,1,4,0.8749,128,0.8817,
-1,6,1,0,0.8749,117,0.877,
-1,6,1,1,0.8749,114,0.8792,
-1,6,1,2,0.8749,112,0.876,
-1,6,1,3,0.8749,114,0.879,
-1,6,1,4,0.8749,112,0.8798,
-1,7,1,0,0.8749,133,0.8766,
-1,7,1,1,0.8749,130,0.876,
-1,7,1,2,0.8749,132,0.8767,
-1,7,1,3,0.8749,137,0.8849,
-1,7,1,4,0.8749,134,0.8776,
-1,8,1,0,0.8749,133,0.8766,
-1,8,1,1,0.8749,128,0.8762,
-1,8,1,2,0.8749,129,0.8775,
-1,8,1,3,0.8749,127,0.8758,
-1,8,1,4,0.8749,126,0.8787,
-1,9,1,0,0.8749,141,0.8784,
-1,9,1,1,0.8749,139,0.8846,
