source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.9764,374,0.9773,
-1,0,1,1,0.9764,371,0.9764,
-1,0,1,2,0.9764,384,0.9777,
-1,0,1,3,0.9764,377,0.977,
-1,0,1,4,0.9764,377,0.9765,
-1,1,1,0,0.9764,500,0.9771,
-1,1,1,1,0.9764,496,0.9769,
-1,1,1,2,0.9764,497,0.9766,
-1,1,1,3,0.9764,487,0.9765,
-1,1,1,4,0.9764,493,0.977,
-1,2,1,0,0.9764,359,0.9769,
-1,2,1,1,0.9764,362,0.9764,
-1,2,1,2,0.9764,357,0.977,
-1,2,1,3,0.9764,370,0.9775,
-1,2,1,4,0.9764,361,0.9776,
-1,3,1,0,0.9764,388,0.9764,
-1,3,1,1,0.9764,396,0.9771,
-1,3,1,2,0.9764,401,0.9773,
-1,3,1,3,0.9764,402,0.9774,
-1,3,1,4,0.9764,397,0.9769,
-1,4,1,0,0.9764,414,0.9775,
-1,4,1,1,0.9764,414,0.9765,
-1,4,1,2,0.9764,412,0.9769,
-1,4,1,3,0.9764,408,0.9765,
-1,4,1,4,0.9764,408,0.9772,
-1,5,1,0,0.9764,375,0.9766,
-1,5,1,1,0.9764,380,0.9768,
-1,5,1,2,0.9764,373,0.9764,
-1,5,1,3,0.9764,372,0.9766,
-1,5,1,4,0.9764,371,0.977,
-1,6,1,0,0.9764,421,0.9769,
-1,6,1,1,0.9764,415,0.9772,
-1,6,1,2,0.9764,420,0.9769,
-1,6,1,3,0.9764,413,0.9768,
-1,6,1,4,0.9764,414,0.9768,
-1,7,1,0,0.9764,408,0.9773,
-1,7,1,1,0.9764,417,0.9768,
-1,7,1,2,0.9764,409,0.9769,
-1,7,1,3,0.9764,405,0.9766,
-1,7,1,4,0.9764,409,0.9771,
-1,8,1,0,0.9764,365,0.977,
-1,8,1,1,0.9764,365,0.9768,
-1,8,1,2,0.9764,371,0.9769,
-1,8,1,3,0.9764,370,0.9767,
-1,8,1,4,0.9764,375,0.9765,
-1,9,1,0,0.9764,413,0.9766,
-1,9,1,1,0.9764,414,0.9774,
-1,9,1,2,0.9764,416,0.9764,
-1,9,1,3,0.9764,416,0.9769,
-1,9,1,4,0.9764,416,0.9776,
1,0,2,0,0.9764,130,0.977112676056338,0.9673998871968416
1,0,2,1,0.9764,137,0.9788732394366197,0.9648054145516074
1,0,2,2,0.9764,131,0.977112676056338,0.9663846587704455
1,0,2,3,0.9764,129,0.977112676056338,0.9675126903553299
1,0,2,4,0.9764,128,0.9788732394366197,0.9673998871968416
2,0,2,0,0.9764,167,0.9767441860465116,0.9470338983050848
2,0,2,1,0.9764,185,0.9767441860465116,0.9320918822479929
2,0,2,2,0.9764,168,0.9786821705426356,0.9477029438001784
2,0,2,3,0.9764,20,0.003875968992248062,0.977363960749331
2,0,2,4,0.9764,173,0.9767441860465116,0.9429081177520071
3,0,2,0,0.9764,167,0.9782178217821782,0.9426028921023359
