source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.9826,338,0.9828,
-1,0,1,1,0.9826,339,0.9831,
-1,0,1,2,0.9826,340,0.9829,
-1,0,1,3,0.9826,342,0.9834,
-1,0,1,4,0.9826,338,0.9831,
-1,1,1,0,0.9826,388,0.9829,
-1,1,1,1,0.9826,379,0.9833,
-1,1,1,2,0.9826,384,0.9828,
-1,1,1,3,0.9826,378,0.9831,
-1,1,1,4,0.9826,384,0.9829,
-1,2,1,0,0.9826,325,0.9827,
-1,2,1,1,0.9826,323,0.9837,
-1,2,1,2,0.9826,321,0.9826,
-1,2,1,3,0.9826,324,0.9833,
-1,2,1,4,0.9826,324,0.9827,
-1,3,1,0,0.9826,351,0.9828,
-1,3,1,1,0.9826,351,0.9832,
-1,3,1,2,0.9826,349,0.9831,
-1,3,1,3,0.9826,349,0.9829,
-1,3,1,4,0.9826,351,0.983,
-1,4,1,0,0.9826,353,0.9829,
-1,4,1,1,0.9826,350,0.9828,
-1,4,1,2,0.9826,353,0.9831,
-1,4,1,3,0.9826,347,0.9836,
-1,4,1,4,0.9826,353,0.9835,
-1,5,1,0,0.9826,351,0.9829,
-1,5,1,1,0.9826,351,0.9832,
-1,5,1,2,0.9826,346,0.9826,
-1,5,1,3,0.9826,349,0.9826,
-1,5,1,4,0.9826,351,0.9827,
-1,6,1,0,0.9826,348,0.9826,
-1,6,1,1,0.9826,347,0.9841,
-1,6,1,2,0.9826,344,0.9827,
-1,6,1,3,0.9826,344,0.9828,
-1,6,1,4,0.9826,349,0.9832,
-1,7,1,0,0.9826,342,0.9826,
-1,7,1,1,0.9826,344,0.9835,
-1,7,1,2,0.9826,343,0.9827,
-1,7,1,3,0.9826,344,0.9835,
-1,7,1,4,0.9826,347,0.9832,
-1,8,1,0,0.9826,331,0.9828,
-1,8,1,1,0.9826,334,0.9836,
-1,8,1,2,0.9826,332,0.9832,
-1,8,1,3,0.9826,337,0.9832,
-1,8,1,4,0.9826,335,0.9837,
-1,9,1,0,0.9826,367,0.9829,
-1,9,1,1,0.9826,359,0.9828,
-1,9,1,2,0.9826,366,0.983,
-1,9,1,3,0.9826,364,0.9832,
-1,9,1,4,0.9826,367,0.983,
1,0,2,0,0.9826,184,0.9841549295774648,0.9130287648054145
1,0,2,1,0.9826,26,0.0017605633802816902,0.9803722504230118
1,0,2,2,0.9826,186,0.9841549295774648,0.9123519458544839
1,0,2,3,0.9826,183,0.9841549295774648,0.9191201353637902
1,0,2,4,0.9826,72,0.008802816901408451,0.9755217146080091
2,0,2,0,0.9826,220,0.9844961240310077,0.8922836752899197
2,0,2,1,0.9826,224,0.9844961240310077,0.8966324710080286
2,0,2,2,0.9826,221,0.9844961240310077,0.8994201605709188
2,0,2,3,0.9826,221,0.9844961240310077,0.8932872435325602
2,0,2,4,0.9826,219,0.9844961240310077,0.905107047279215
3,0,2,0,0.9826,220,0.9841584158415841,0.8743047830923248
3,0,2,1,0.9826,20,0.0019801980198019802,0.9824249165739711
3,0,2,2,0.9826,46,0.0019801980198019802,0.9815350389321468
3,0,2,3,0.9826,219,0.9841584158415841,0.8773081201334817
3,0,2,4,0.9826,20,0.0019801980198019802,0.9826473859844271
4,0,2,0,0.9826,215,0.9837067209775967,0.8896651142160125
4,0,2,1,0.9826,48,0.004073319755600814,0.982257706808605
4,0,2,2,0.9826,37,0.004073319755600814,0.9828121534708361
4,0,2,3,0.9826,30,0.002036659877800407,0.9827012641383899
4,0,2,4,0.9826,47,0.004073319755600814,0.9823685961410512
5,0,2,0,0.9826,58,0.006726457399103139,0.980566534914361
5,0,2,1,0.9826,59,0.004484304932735426,0.980566534914361
5,0,2,2,0.9826,20,0.002242152466367713,0.9818840579710145
5,0,2,3,0.9826,228,0.984304932735426,0.8618796662274923
5,0,2,4,0.9826,34,0.004484304932735426,0.9813350900307422
6,0,2,0,0.9826,206,0.9853862212943633,0.9345277593452775
6,0,2,1,0.9826,202,0.9832985386221295,0.9413846494138465
6,0,2,2,0.9826,202,0.9832985386221295,0.9376244193762442
6,0,2,3,0.9826,199,0.9832985386221295,0.9400575094005751
6,0,2,4,0.9826,210,0.9832985386221295,0.9299933642999336
7,0,2,0,0.9826,202,0.9844357976653697,0.8698172090949621
7,0,2,1,0.9826,22,0.0038910505836575876,0.9826125724476148
7,0,2,2,0.9826,26,0.0038910505836575876,0.9825011145786893
7,0,2,3,0.9826,20,0.0019455252918287938,0.9828354881854658
7,0,2,4,0.9826,20,0.0019455252918287938,0.9829469460543915
8,0,2,0,0.9826,201,0.9835728952772074,0.8913139818302681
8,0,2,1,0.9826,207,0.9835728952772074,0.8869931309550189
8,0,2,2,0.9826,206,0.9835728952772074,0.8855528473299358
8,0,2,3,0.9826,201,0.9835728952772074,0.8910923997341015
8,0,2,4,0.9826,197,0.9835728952772074,0.9059384001772657
9,0,2,0,0.9826,196,0.9841584158415841,0.8942275608942276
9,0,2,1,0.9826,195,0.9841584158415841,0.9070181292403514
9,0,2,2,0.9826,49,0.009900990099009901,0.9825380936492047
9,0,2,3,0.9826,197,0.9841584158415841,0.8906684462240018
9,0,2,4,0.9826,20,0.0019801980198019802,0.982982982982983
