source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.9157,219,0.9182,
-1,0,1,1,0.9157,214,0.9194,
-1,0,1,2,0.9157,218,0.9161,
-1,0,1,3,0.9157,207,0.9169,
-1,0,1,4,0.9157,213,0.9171,
-1,1,1,0,0.9157,275,0.9163,
-1,1,1,1,0.9157,256,0.917,
-1,1,1,2,0.9157,268,0.9162,
-1,1,1,3,0.9157,260,0.9159,
-1,1,1,4,0.9157,268,0.9185,
-1,2,1,0,0.9157,218,0.917,
-1,2,1,1,0.9157,221,0.9188,
-1,2,1,2,0.9157,220,0.9161,
-1,2,1,3,0.9157,218,0.9164,
-1,2,1,4,0.9157,224,0.9157,
-1,3,1,0,0.9157,235,0.917,
-1,3,1,1,0.9157,239,0.9177,
-1,3,1,2,0.9157,239,0.9191,
-1,3,1,3,0.9157,238,0.9199,
-1,3,1,4,0.9157,242,0.9167,
-1,4,1,0,0.9157,229,0.9167,
-1,4,1,1,0.9157,226,0.917,
-1,4,1,2,0.9157,228,0.918,
-1,4,1,3,0.9157,231,0.9162,
-1,4,1,4,0.9157,228,0.9161,
-1,5,1,0,0.9157,220,0.9163,
-1,5,1,1,0.9157,229,0.9193,
-1,5,1,2,0.9157,222,0.9158,
-1,5,1,3,0.9157,213,0.9228,
-1,5,1,4,0.9157,220,0.9164,
-1,6,1,0,0.9157,217,0.9164,
-1,6,1,1,0.9157,225,0.9157,
-1,6,1,2,0.9157,227,0.9187,
-1,6,1,3,0.9157,228,0.9157,
-1,6,1,4,0.9157,226,0.9165,
-1,7,1,0,0.9157,221,0.9159,
-1,7,1,1,0.9157,220,0.9183,
-1,7,1,2,0.9157,231,0.9166,
-1,7,1,3,0.9157,228,0.9162,
-1,7,1,4,0.9157,222,0.9163,
-1,8,1,0,0.9157,243,0.9166,
-1,8,1,1,0.9157,241,0.9162,
-1,8,1,2,0.9157,240,0.9158,
-1,8,1,3,0.9157,243,0.916,
-1,8,1,4,0.9157,247,0.9173,
-1,9,1,0,0.9157,225,0.9173,
-1,9,1,1,0.9157,225,0.9183,
-1,9,1,2,0.9157,239,0.9175,
-1,9,1,3,0.9157,230,0.9185,
-1,9,1,4,0.9157,228,0.918,
1,0,2,0,0.9157,48,0.9295774647887324,0.8929498025944727
1,0,2,1,0.9157,47,0.9172535211267606,0.8924985899605189
1,0,2,2,0.9157,49,0.9225352112676056,0.890468133107727
1,0,2,3,0.9157,48,0.9190140845070423,0.8928369994359842
1,0,2,4,0.9157,50,0.9295774647887324,0.8912577552171461
2,0,2,0,0.9157,88,0.9186046511627907,0.836864406779661
2,0,2,1,0.9157,87,0.9166666666666666,0.8361953612845674
2,0,2,2,0.9157,90,0.9186046511627907,0.8198037466547725
2,0,2,3,0.9157,99,0.9166666666666666,0.8040811775200714
2,0,2,4,0.9157,98,0.9166666666666666,0.8028545941123997
3,0,2,0,0.9157,77,0.9188118811881189,0.8661846496106785
