source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.9648,153,0.9658,
-1,0,1,1,0.9648,156,0.9666,
-1,0,1,2,0.9648,158,0.965,
-1,0,1,3,0.9648,156,0.9651,
-1,0,1,4,0.9648,155,0.965,
-1,1,1,0,0.9648,170,0.9655,
-1,1,1,1,0.9648,172,0.9655,
-1,1,1,2,0.9648,169,0.9661,
-1,1,1,3,0.9648,171,0.9671,
-1,1,1,4,0.9648,172,0.9655,
-1,2,1,0,0.9648,150,0.9659,
-1,2,1,1,0.9648,145,0.9653,
-1,2,1,2,0.9648,149,0.9656,
-1,2,1,3,0.9648,151,0.968,
-1,2,1,4,0.9648,150,0.967,
-1,3,1,0,0.9648,159,0.9654,
-1,3,1,1,0.9648,156,0.9665,
-1,3,1,2,0.9648,155,0.9658,
-1,3,1,3,0.9648,156,0.9669,
-1,3,1,4,0.9648,159,0.9648,
-1,4,1,0,0.9648,161,0.9685,
-1,4,1,1,0.9648,157,0.9661,
-1,4,1,2,0.9648,161,0.9652,
-1,4,1,3,0.9648,162,0.9665,
-1,4,1,4,0.9648,157,0.9651,
-1,5,1,0,0.9648,153,0.9648,
-1,5,1,1,0.9648,152,0.9663,
-1,5,1,2,0.9648,153,0.965,
-1,5,1,3,0.9648,155,0.9673,
-1,5,1,4,0.9648,151,0.9648,
-1,6,1,0,0.9648,158,0.9658,
-1,6,1,1,0.9648,153,0.9655,
-1,6,1,2,0.9648,151,0.9685,
-1,6,1,3,0.9648,155,0.965,
-1,6,1,4,0.9648,154,0.965,
-1,7,1,0,0.9648,157,0.9656,
-1,7,1,1,0.9648,161,0.9667,
-1,7,1,2,0.9648,158,0.966,
-1,7,1,3,0.9648,164,0.966,
-1,7,1,4,0.9648,159,0.9655,
-1,8,1,0,0.9648,165,0.9681,
-1,8,1,1,0.9648,160,0.965,
-1,8,1,2,0.9648,159,0.9658,
-1,8,1,3,0.9648,159,0.9653,
-1,8,1,4,0.9648,162,0.9653,
-1,9,1,0,0.9648,167,0.9652,
-1,9,1,1,0.9648,172,0.9665,
-1,9,1,2,0.9648,170,0.9659,
-1,9,1,3,0.9648,171,0.9653,
-1,9,1,4,0.9648,174,0.9653,
1,0,2,0,0.9648,80,0.9700704225352113,0.8941906373378454
1,0,2,1,0.9648,81,0.9753521126760564,0.893062605752961
1,0,2,2,0.9648,80,0.9700704225352113,0.894077834179357
1,0,2,3,0.9648,81,0.9683098591549296,0.8917089678510999
1,0,2,4,0.9648,81,0.9665492957746479,0.8882120699379583
2,0,2,0,0.9648,94,0.9651162790697675,0.8645182872435325
2,0,2,1,0.9648,94,0.9651162790697675,0.858942908117752
2,0,2,2,0.9648,21,0.005813953488372093,0.9656556645851918
2,0,2,3,0.9648,20,0.005813953488372093,0.9659901873327387
2,0,2,4,0.9648,95,0.9709302325581395,0.8632917038358608
3,0,2,0,0.9648,89,0.9663366336633663,0.8914349276974416
3,0,2,1,0.9648,93,0.9702970297029703,0.8814238042269188
3,0,2,2,0.9648,91,0.9702970297029703,0.8883203559510567
3,0,2,3,0.9648,91,0.9762376237623762,0.8854282536151279
3,0,2,4,0.9648,90,0.9683168316831683,0.8937708565072302
4,0,2,0,0.9648,88,0.9714867617107943,0.885894876912841
4,0,2,1,0.9648,88,0.9653767820773931,0.8803504102905301
4,0,2,2,0.9648,87,0.9714867617107943,0.8866711022399645
4,0,2,3,0.9648,88,0.9735234215885947,0.8861166555777334
4,0,2,4,0.9648,87,0.9755600814663951,0.8827899756043469
5,0,2,0,0.9648,95,0.968609865470852,0.8528765920070268
5,0,2,1,0.9648,94,0.968609865470852,0.854852876592007
5,0,2,2,0.9648,96,0.968609865470852,0.8502415458937198
5,0,2,3,0.9648,94,0.9663677130044843,0.8558410188844972
5,0,2,4,0.9648,95,0.9663677130044843,0.8492534036012297
6,0,2,0,0.9648,84,0.9665970772442589,0.9192656491926565
6,0,2,1,0.9648,84,0.9686847599164927,0.9219199292191993
6,0,2,2,0.9648,84,0.9749478079331941,0.9153948241539482
