source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
4,1,2,0,0.8941,34,0.004,0.9038888888888889
4,1,2,1,0.8941,125,0.906,0.7613333333333333
4,1,2,2,0.8941,34,0.004,0.904
4,1,2,3,0.8941,33,0.002,0.904
4,1,2,4,0.8941,34,0.002,0.9038888888888889
5,1,2,0,0.8941,156,0.896,0.8157777777777778
5,1,2,1,0.8941,154,0.904,0.816
5,1,2,2,0.8941,153,0.914,0.8104444444444444
5,1,2,3,0.8941,155,0.904,0.8112222222222222
5,1,2,4,0.8941,155,0.908,0.8111111111111111
6,1,2,0,0.8941,143,0.904,0.6677777777777778
6,1,2,1,0.8941,142,0.9,0.6621111111111111
6,1,2,2,0.8941,30,0.006,0.9161111111111111
6,1,2,3,0.8941,30,0.008,0.9162222222222223
6,1,2,4,0.8941,30,0.006,0.9162222222222223
7,1,2,0,0.8941,129,0.896,0.8178888888888889
7,1,2,1,0.8941,130,0.904,0.8146666666666667
7,1,2,2,0.8941,130,0.902,0.8151111111111111
7,1,2,3,0.8941,130,0.902,0.8125555555555556
7,1,2,4,0.8941,132,0.898,0.8075555555555556
8,1,2,0,0.8941,62,0.004,0.8825555555555555
8,1,2,1,0.8941,20,0.002,0.885
8,1,2,2,0.8941,179,0.902,0.7687777777777778
8,1,2,3,0.8941,20,0.002,0.885
8,1,2,4,0.8941,178,0.9,0.7718888888888888
9,1,2,0,0.8941,158,0.912,0.8166666666666667
9,1,2,1,0.8941,158,0.9,0.8171111111111111
9,1,2,2,0.8941,158,0.902,0.823
9,1,2,3,0.8941,156,0.896,0.8231111111111111
9,1,2,4,0.8941,156,0.898,0.8216666666666667
0,2,2,0,0.8941,81,0.904,0.7971111111111111
0,2,2,1,0.8941,83,0.898,0.7977777777777778
0,2,2,2,0.8941,83,0.902,0.7921111111111111
0,2,2,3,0.8941,83,0.9,0.7926666666666666
0,2,2,4,0.8941,81,0.896,0.7987777777777778
1,2,2,0,0.8941,20,0.002,0.8793333333333333
1,2,2,1,0.8941,150,0.908,0.7335555555555555
1,2,2,2,0.8941,149,0.898,0.7302222222222222
1,2,2,3,0.8941,150,0.904,0.7322222222222222
1,2,2,4,0.8941,20,0.004,0.8787777777777778
3,2,2,0,0.8941,87,0.902,0.812
3,2,2,1,0.8941,86,0.896,0.809
3,2,2,2,0.8941,89,0.898,0.8072222222222222
3,2,2,3,0.8941,89,0.904,0.8076666666666666
3,2,2,4,0.8941,86,0.9,0.8116666666666666
4,2,2,0,0.8941,69,0.91,0.8671111111111112
4,2,2,1,0.8941,68,0.9,0.87
4,2,2,2,0.8941,69,0.896,0.8666666666666667
4,2,2,3,0.8941,68,0.904,0.8684444444444445
4,2,2,4,0.8941,70,0.902,0.87
5,2,2,0,0.8941,126,0.9,0.7094444444444444
5,2,2,1,0.8941,127,0.896,0.7097777777777777
5,2,2,2,0.8941,127,0.9,0.706
5,2,2,3,0.8941,128,0.896,0.7111111111111111
5,2,2,4,0.8941,127,0.9,0.7131111111111111
6,2,2,0,0.8941,85,0.898,0.7912222222222223
6,2,2,1,0.8941,91,0.898,0.7761111111111111
6,2,2,2,0.8941,86,0.9,0.7833333333333333
6,2,2,3,0.8941,89,0.9,0.7716666666666666
6,2,2,4,0.8941,87,0.898,0.7761111111111111
7,2,2,0,0.8941,103,0.912,0.7144444444444444
7,2,2,1,0.8941,104,0.908,0.7167777777777777
7,2,2,2,0.8941,103,0.898,0.714
7,2,2,3,0.8941,104,0.906,0.706
7,2,2,4,0.8941,105,0.9,0.7086666666666667
8,2,2,0,0.8941,129,0.896,0.7868888888888889
8,2,2,1,0.8941,129,0.91,0.7833333333333333
8,2,2,2,0.8941,130,0.898,0.7784444444444445
8,2,2,3,0.8941,128,0.896,0.7876666666666666
8,2,2,4,0.8941,129,0.9,0.7802222222222223
9,2,2,0,0.8941,124,0.904,0.7732222222222223
9,2,2,1,0.8941,125,0.9,0.7681111111111111
9,2,2,2,0.8941,123,0.898,0.7817777777777778
9,2,2,3,0.8941,125,0.904,0.7684444444444445
9,2,2,4,0.8941,124,0.896,0.7742222222222223
0,3,2,0,0.8941,94,0.9,0.844
0,3,2,1,0.8941,94,0.906,0.8406666666666667
0,3,2,2,0.8941,92,0.9,0.8464444444444444
0,3,2,3,0.8941,91,0.906,0.8445555555555555
0,3,2,4,0.8941,90,0.9,0.8474444444444444
1,3,2,0,0.8941,122,0.9,0.8752222222222222
1,3,2,1,0.8941,123,0.898,0.8738888888888889
1,3,2,2,0.8941,124,0.902,0.8734444444444445
1,3,2,3,0.8941,124,0.9,0.8737777777777778
1,3,2,4,0.8941,123,0.896,0.8737777777777778
2,3,2,0,0.8941,104,0.902,0.7735555555555556
2,3,2,1,0.8941,107,0.906,0.77
2,3,2,2,0.8941,105,0.9,0.7735555555555556
2,3,2,3,0.8941,105,0.91,0.7741111111111111
2,3,2,4,0.8941,106,0.898,0.7717777777777778
4,3,2,0,0.8941,106,0.898,0.7663333333333333
4,3,2,1,0.8941,105,0.904,0.7745555555555556
4,3,2,2,0.8941,105,0.898,0.7804444444444445
4,3,2,3,0.8941,105,0.904,0.7803333333333333
4,3,2,4,0.8941,106,0.902,0.7751111111111111
5,3,2,0,0.8941,20,0.002,0.8837777777777778
5,3,2,1,0.8941,33,0.004,0.8816666666666667
5,3,2,2,0.8941,130,0.902,0.8124444444444444
5,3,2,3,0.8941,20,0.002,0.8841111111111111
5,3,2,4,0.8941,34,0.002,0.8817777777777778
6,3,2,0,0.8941,108,0.9,0.7455555555555555
6,3,2,1,0.8941,108,0.9,0.7446666666666667
6,3,2,2,0.8941,106,0.906,0.7481111111111111
6,3,2,3,0.8941,107,0.896,0.7533333333333333
6,3,2,4,0.8941,105,0.896,0.7571111111111111
7,3,2,0,0.8941,108,0.896,0.8196666666666667
7,3,2,1,0.8941,109,0.902,0.8198888888888889
7,3,2,2,0.8941,109,0.908,0.8223333333333334
7,3,2,3,0.8941,109,0.902,0.8194444444444444
7,3,2,4,0.8941,110,0.898,0.8203333333333334
8,3,2,0,0.8941,20,0.002,0.8836666666666667
8,3,2,1,0.8941,138,0.902,0.8133333333333334
8,3,2,2,0.8941,20,0.004,0.8836666666666667
8,3,2,3,0.8941,142,0.896,0.8075555555555556
8,3,2,4,0.8941,139,0.896,0.8133333333333334
9,3,2,0,0.8941,130,0.904,0.8328888888888889
9,3,2,1,0.8941,134,0.908,0.826
9,3,2,2,0.8941,36,0.002,0.8867777777777778
9,3,2,3,0.8941,36,0.002,0.8868888888888888
9,3,2,4,0.8941,36,0.002,0.8866666666666667
0,4,2,0,0.8941,117,0.896,0.7691111111111111
0,4,2,1,0.8941,116,0.904,0.765
0,4,2,2,0.8941,116,0.902,0.7652222222222222
0,4,2,3,0.8941,116,0.908,0.7638888888888888
0,4,2,4,0.8941,20,0.008,0.8967777777777778
1,4,2,0,0.8941,140,0.902,0.8221111111111111
1,4,2,1,0.8941,142,0.904,0.8068888888888889
1,4,2,2,0.8941,24,0.008,0.8823333333333333
1,4,2,3,0.8941,20,0.004,0.8833333333333333
1,4,2,4,0.8941,140,0.904,0.8127777777777778
2,4,2,0,0.8941,83,0.898,0.8654444444444445
2,4,2,1,0.8941,81,0.896,0.8712222222222222
2,4,2,2,0.8941,83,0.896,0.866
2,4,2,3,0.8941,83,0.906,0.8698888888888889
2,4,2,4,0.8941,79,0.896,0.8718888888888889
3,4,2,0,0.8941,105,0.896,0.8324444444444444
3,4,2,1,0.8941,106,0.898,0.8332222222222222
3,4,2,2,0.8941,109,0.902,0.8232222222222222
3,4,2,3,0.8941,104,0.896,0.8361111111111111
