source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.8852,273,0.8876,
-1,0,1,1,0.8852,275,0.8898,
-1,0,1,2,0.8852,270,0.8861,
-1,0,1,3,0.8852,275,0.8866,
-1,0,1,4,0.8852,273,0.8873,
-1,1,1,0,0.8852,291,0.8868,
-1,1,1,1,0.8852,294,0.8852,
-1,1,1,2,0.8852,297,0.8857,
-1,1,1,3,0.8852,290,0.8875,
-1,1,1,4,0.8852,294,0.8866,
-1,2,1,0,0.8852,306,0.8855,
-1,2,1,1,0.8852,307,0.889,
-1,2,1,2,0.8852,304,0.8858,
-1,2,1,3,0.8852,312,0.8876,
-1,2,1,4,0.8852,305,0.887,
-1,3,1,0,0.8852,324,0.886,
-1,3,1,1,0.8852,332,0.8858,
-1,3,1,2,0.8852,326,0.8861,
-1,3,1,3,0.8852,334,0.8887,
-1,3,1,4,0.8852,334,0.8861,
-1,4,1,0,0.8852,326,0.8915,
-1,4,1,1,0.8852,330,0.8855,
-1,4,1,2,0.8852,326,0.8871,
-1,4,1,3,0.8852,331,0.8868,
-1,4,1,4,0.8852,328,0.8866,
-1,5,1,0,0.8852,279,0.8873,
-1,5,1,1,0.8852,280,0.8867,
-1,5,1,2,0.8852,274,0.8889,
-1,5,1,3,0.8852,278,0.886,
-1,5,1,4,0.8852,278,0.8852,
-1,6,1,0,0.8852,274,0.8852,
-1,6,1,1,0.8852,273,0.887,
-1,6,1,2,0.8852,273,0.8855,
-1,6,1,3,0.8852,273,0.8869,
-1,6,1,4,0.8852,278,0.8874,
-1,7,1,0,0.8852,349,0.8867,
-1,7,1,1,0.8852,352,0.8871,
-1,7,1,2,0.8852,346,0.8859,
-1,7,1,3,0.8852,351,0.8854,
-1,7,1,4,0.8852,350,0.8863,
-1,8,1,0,0.8852,255,0.8861,
-1,8,1,1,0.8852,246,0.889,
-1,8,1,2,0.8852,251,0.8879,
-1,8,1,3,0.8852,248,0.8859,
-1,8,1,4,0.8852,250,0.8916,
-1,9,1,0,0.8852,354,0.8852,
-1,9,1,1,0.8852,348,0.8852,
-1,9,1,2,0.8852,353,0.8877,
-1,9,1,3,0.8852,353,0.8855,
-1,9,1,4,0.8852,354,0.8862,
1,0,2,0,0.8852,74,0.888,0.8663333333333333
1,0,2,1,0.8852,20,0.006,0.8747777777777778
1,0,2,2,0.8852,75,0.886,0.8675555555555555
1,0,2,3,0.8852,75,0.902,0.8668888888888889
1,0,2,4,0.8852,75,0.894,0.8662222222222222
2,0,2,0,0.8852,96,0.892,0.8306666666666667
2,0,2,1,0.8852,95,0.886,0.8356666666666667
2,0,2,2,0.8852,94,0.892,0.8357777777777777
2,0,2,3,0.8852,94,0.888,0.8315555555555556
2,0,2,4,0.8852,93,0.892,0.8322222222222222
3,0,2,0,0.8852,76,0.888,0.8771111111111111
3,0,2,1,0.8852,75,0.888,0.8777777777777778
3,0,2,2,0.8852,75,0.888,0.8783333333333333
3,0,2,3,0.8852,79,0.888,0.8756666666666667
3,0,2,4,0.8852,77,0.886,0.8756666666666667
4,0,2,0,0.8852,93,0.886,0.819
4,0,2,1,0.8852,94,0.888,0.8222222222222222
4,0,2,2,0.8852,96,0.888,0.813
4,0,2,3,0.8852,94,0.888,0.8158888888888889
4,0,2,4,0.8852,97,0.892,0.8151111111111111
5,0,2,0,0.8852,122,0.894,0.8657777777777778
5,0,2,1,0.8852,127,0.89,0.8635555555555555
5,0,2,2,0.8852,123,0.886,0.8667777777777778
5,0,2,3,0.8852,126,0.89,0.8647777777777778
5,0,2,4,0.8852,126,0.888,0.8652222222222222
6,0,2,0,0.8852,93,0.898,0.8456666666666667
6,0,2,1,0.8852,90,0.894,0.8575555555555555
6,0,2,2,0.8852,91,0.888,0.8534444444444444
6,0,2,3,0.8852,91,0.898,0.8488888888888889
6,0,2,4,0.8852,90,0.892,0.8494444444444444
7,0,2,0,0.8852,96,0.886,0.8708888888888889
7,0,2,1,0.8852,94,0.89,0.8712222222222222
7,0,2,2,0.8852,95,0.89,0.8698888888888889
7,0,2,3,0.8852,95,0.89,0.8707777777777778
7,0,2,4,0.8852,95,0.89,0.8694444444444445
8,0,2,0,0.8852,20,0.002,0.876
8,0,2,1,0.8852,113,0.896,0.8606666666666667
8,0,2,2,0.8852,114,0.896,0.8578888888888889
8,0,2,3,0.8852,114,0.886,0.8574444444444445
8,0,2,4,0.8852,110,0.892,0.8604444444444445
9,0,2,0,0.8852,103,0.892,0.8748888888888889
9,0,2,1,0.8852,104,0.888,0.8734444444444445
9,0,2,2,0.8852,106,0.9,0.8728888888888889
9,0,2,3,0.8852,104,0.888,0.873
9,0,2,4,0.8852,106,0.886,0.8731111111111111
0,1,2,0,0.8852,111,0.886,0.8057777777777778
0,1,2,1,0.8852,112,0.888,0.8016666666666666
0,1,2,2,0.8852,118,0.888,0.7903333333333333
0,1,2,3,0.8852,115,0.886,0.7963333333333333
0,1,2,4,0.8852,115,0.888,0.7975555555555556
2,1,2,0,0.8852,100,0.886,0.7916666666666666
2,1,2,1,0.8852,29,0.002,0.8961111111111111
2,1,2,2,0.8852,100,0.888,0.7997777777777778
2,1,2,3,0.8852,99,0.89,0.7923333333333333
2,1,2,4,0.8852,99,0.888,0.7912222222222223
3,1,2,0,0.8852,84,0.89,0.8645555555555555
3,1,2,1,0.8852,84,0.892,0.8625555555555555
3,1,2,2,0.8852,82,0.894,0.8653333333333333
3,1,2,3,0.8852,84,0.896,0.8617777777777778
3,1,2,4,0.8852,85,0.888,0.8616666666666667
4,1,2,0,0.8852,94,0.886,0.8057777777777778
4,1,2,1,0.8852,98,0.896,0.796
4,1,2,2,0.8852,94,0.892,0.8061111111111111
4,1,2,3,0.8852,92,0.886,0.8131111111111111
4,1,2,4,0.8852,95,0.89,0.8044444444444444
5,1,2,0,0.8852,149,0.888,0.8675555555555555
5,1,2,1,0.8852,150,0.888,0.8685555555555555
5,1,2,2,0.8852,153,0.886,0.8648888888888889
5,1,2,3,0.8852,153,0.89,0.8656666666666667
5,1,2,4,0.8852,150,0.888,0.867
6,1,2,0,0.8852,120,0.886,0.7172222222222222
